"","State","Rank","Name","Tuition.and.fees.x","Undergrad.Enrollment.x","City","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History","Tuition.and.fees.y","Undergrad.Enrollment.y","Earn","CrimeRate","HappyRank","HappyScore"
"24","MA",24,"Boston College","$51,296 ","9,192","Chestnut Hill","02467","www.bc.edu",42.336213,-71.169242,"0.3114","Private nonprofit","City","1378",65595,0,1,0,1,1,0,1,1,1,1,1,1,"$51,296 ","9,192",77600,391.4,16,57.42
"25","NY",25,"University of Rochester","$50,142 ","6,304","Rochester","14627-0011","www.rochester.edu",43.126397,-77.631202,"0.3553","Private nonprofit","City","NULL",65364,0,1,0,1,1,1,1,1,1,1,1,1,"$50,142 ","6,304",61200,381.8,26,52.54
"26","MA",26,"Brandeis University","$51,570 ","3,621","Waltham","02454-9110","www.brandeis.edu/",42.364947,-71.254716,"0.3344","Private nonprofit","City","1377",65954,0,1,0,1,1,0,1,1,1,1,1,1,"$51,570 ","3,621",53300,391.4,16,57.42
"27","NY",27,"New York University","$49,062 ","25,722","New York","10012-1091","www.nyu.edu",40.729452,-73.997264,"0.3187","Private nonprofit","City","1371",67637,0,0,0,1,1,2,1,1,1,2,2,1,"$49,062 ","25,722",62800,381.8,26,52.54
"28","OH",28,"Case Western Reserve University","$46,006 ","5,121","Cleveland","44106","www.case.edu",41.507419,-81.609596,"0.3544","Private nonprofit","City","1408",61371,0,1,1,1,1,1,1,1,1,1,1,1,"$46,006 ","5,121",74200,284.9,39,46.04
"29","MA",29,"Boston University","$50,240 ","17,932","Boston","02215","www.bu.edu",42.351118,-71.107942,"0.2943","Private nonprofit","City","1328",65809,0,0,1,1,1,1,1,1,1,1,1,1,"$50,240 ","17,932",59800,391.4,16,57.42
"30","MA",30,"Northeastern University","$47,655 ","13,697","Boston","02115-5005","www.northeastern.edu",42.339992,-71.088782,"0.2888","Private nonprofit","City","1434",62789,0,1,1,1,0,1,1,1,1,1,1,1,"$47,655 ","13,697",61900,391.4,16,57.42
"31","NY",31,"Rensselaer Polytechnic Institute","$50,797 ","5,864","Troy","12180-3590","www.rpi.edu",42.729978,-73.676646,"0.4435","Private nonprofit","City","1365",66172,0,1,1,1,0,1,1,1,1,1,1,0,"$50,797 ","5,864",71400,381.8,26,52.54
"32","PA",32,"Lehigh University","$48,320 ","5,075","Bethlehem","18015","www.lehigh.edu",40.606822,-75.380236,"0.2611","Private nonprofit","City","1340",60391,0,1,1,1,0,1,1,1,1,1,1,1,"$48,320 ","5,075",75600,314.1,34,49.98
"33","FL",33,"University of Miami","$47,004 ","11,122","Coral Gables","33146","www.miami.edu/",25.72126,-80.278662,"0.3771","Private nonprofit","Suburb","1323",59833,0,1,1,1,1,1,1,1,1,1,1,1,"$47,004 ","11,122",60400,540.5,35,49.14
