Name,Rank,Tuition and fees
Baton Rouge General Medical Center-School of Nursing,NA,NA
Baton Rouge School of Computers,NA,NA
Capital Area Technical College,NA,NA
Bossier Parish Community College,NA,NA
Cameron College,NA,NA
Centenary College of Louisiana,NA,NA
Cloyd's Beauty School 1 Inc,NA,NA
Crescent City Bartending School,NA,NA
D'Jay's Institute of Cosmetology and Esthiology,NA,NA
Delgado Community College,NA,NA
Delta School of Business and Technology,NA,NA
Avery James School of Cosmetology,NA,NA
Denham Springs Beauty School,NA,NA
Dillard University,NA,NA
Nunez Community College,NA,NA
Grambling State University,NA,NA
Guy's Shreveport Academy of Cosmetology Inc,NA,NA
ITI Technical College,NA,NA
John Jay Beauty College,NA,NA
John Jay Beauty College,NA,NA
Louisiana State University Health Sciences Center-New Orleans,NA,NA
Louisiana State University-Alexandria,NA,NA
Louisiana State University and Agricultural & Mechanical College,NA,NA
Louisiana State University-Eunice,NA,NA
Louisiana State University-Shreveport,NA,NA
Aveda Institute-Baton Rouge,NA,NA
Aveda Institute-Lafayette,NA,NA
Louisiana Academy of Beauty,NA,NA
Louisiana College,NA,NA
Opelousas School of Cosmetology,NA,NA
Louisiana Tech University,192,"$25,851 "
Loyola University New Orleans,NA,NA
McNeese State University,NA,NA
University of New Orleans,NA,NA
Nicholls State University,NA,NA
University of Louisiana at Monroe,NA,NA
Northwest Louisiana Technical College,NA,NA
Notre Dame Seminary Graduate School of Theology,NA,NA
Northwestern State University of Louisiana,NA,NA
University of Holy Cross,NA,NA
Franciscan Missionaries of Our Lady University,NA,NA
Pat Goins Benton Road Beauty School,NA,NA
Celebrity Stylist Beauty School,NA,NA
Pat Goins Ruston Beauty School,NA,NA
Pineville Beauty School,NA,NA
Aveda Institute-Covington,NA,NA
Saint Joseph Seminary College,NA,NA
Vanguard College of Cosmetology-Slidell,NA,NA
South Louisiana Beauty College,NA,NA
Fletcher Technical Community College,NA,NA
Remington College-Lafayette Campus,NA,NA
SOWELA Technical Community College,NA,NA
Stevensons Academy of Hair Design,NA,NA
Southeastern Louisiana University,NA,NA
Southern University and A & M College,NA,NA
Southern University at New Orleans,NA,NA
Southern University at Shreveport,NA,NA
University of Louisiana at Lafayette,NA,NA
Northshore Technical Community College,NA,NA
Tulane University of Louisiana,42,"$51,010 "
Xavier University of Louisiana,NA,NA
South Central Louisiana Technical College,NA,NA
Kaplan University-Maine Campus,NA,NA
College of the Atlantic,NA,NA
Bates College,NA,NA
Beal College,NA,NA
Bowdoin College,NA,NA
Maine College of Health Professions,NA,NA
Central Maine Community College,NA,NA
Colby College,NA,NA
Eastern Maine Community College,NA,NA
Kennebec Valley Community College,NA,NA
The Landing School,NA,NA
University of Maine at Augusta,NA,NA
University of Maine at Farmington,NA,NA
University of Maine at Fort Kent,NA,NA
University of Maine at Machias,NA,NA
University of Maine,174,"$29,498 "
Maine Maritime Academy,NA,NA
University of Maine at Presque Isle,NA,NA
University of New England,NA,NA
Northern Maine Community College,NA,NA
Empire Beauty School-Maine,NA,NA
Maine College of Art,NA,NA
Saint Joseph's College of Maine,NA,NA
Spa Tech Institute-Westbrook,NA,NA
Southern Maine Community College,NA,NA
University of Southern Maine,NA,NA
Thomas College,NA,NA
Unity College,NA,NA
Washington County Community College,NA,NA
Aaron's Academy of Beauty,NA,NA
Aesthetics Institute of Cosmetology,NA,NA
Allegany College of Maryland,NA,NA
Anne Arundel Community College,NA,NA
Brightwood College-Towson,NA,NA
Award Beauty School,NA,NA
Baltimore Studio of Hair Design,NA,NA
Baltimore City Community College,NA,NA
University of Baltimore,NA,NA
Bowie State University,NA,NA
Capitol Technology University,NA,NA
Cecil College,NA,NA
College of Southern Maryland,NA,NA
Chesapeake College,NA,NA
Washington Adventist University,NA,NA
Coppin State University,NA,NA
Delmarva Beauty Academy,NA,NA
North American Trade Schools,NA,NA
Frederick Community College,NA,NA
Frostburg State University,NA,NA
Garrett College,NA,NA
Goucher College,NA,NA
Kaplan University-Hagerstown Campus,NA,NA
Hagerstown Community College,NA,NA
Harford Community College,NA,NA
Hood College,NA,NA
Howard Community College,NA,NA
Aveda Institute-Maryland,NA,NA
Johns Hopkins University,10,"$50,410 "
L'Academie de Cuisine,NA,NA
Lincoln College of Technology-Columbia,NA,NA
Loyola University Maryland,NA,NA
Maryland Beauty Academy,NA,NA
University of Maryland-University College,NA,NA
University of Maryland Baltimore,NA,NA
University of Maryland-Baltimore County,152,"$24,492 "
University of Maryland-College Park,61,"$32,045 "
Maryland Institute College of Art,NA,NA
University of Maryland Eastern Shore,NA,NA
Fortis Institute-Towson,NA,NA
Montgomery Beauty School,NA,NA
Montgomery College,NA,NA
Morgan State University,NA,NA
Mount St. Mary's University,NA,NA
Ner Israel Rabbinical College,NA,NA
Hair Academy Inc-New Carrollton,NA,NA
Notre Dame of Maryland University,NA,NA
Prince George's Community College,NA,NA
Brightwood College-Baltimore,NA,NA
Robert Paul Academy of Cosmetology Arts & Sciences,NA,NA
Maryland Beauty Academy of Essex,NA,NA
Salisbury University,NA,NA
St Mary's College of Maryland,NA,NA
St. John's College,NA,NA
Brightwood College-Beltsville,NA,NA
Towson University,NA,NA
Maryland University of Integrative Health,NA,NA
Stevenson University,NA,NA
Washington College,NA,NA
McDaniel College,NA,NA
Wor-Wic Community College,NA,NA
Hult International Business School,NA,NA
New England College of Business and Finance,NA,NA
American International College,NA,NA
Amherst College,NA,NA
Andover Newton Theological School,NA,NA
Anna Maria College,NA,NA
Assabet Valley Regional Technical School,NA,NA
Assumption College,NA,NA
Babson College,NA,NA
Bancroft School of Massage Therapy,NA,NA
Boston Baptist College,NA,NA
Bay Path University,NA,NA
Bay State College,NA,NA
Bay State School of Technology,NA,NA
Becker College,NA,NA
Bentley University,NA,NA
Berklee College of Music,NA,NA
Berkshire Community College,NA,NA
Empire Beauty School-Boston,NA,NA
Boston Architectural College,NA,NA
Boston Graduate School of Psychoanalysis Inc,NA,NA
Boston College,31,"$51,296 "
Boston University,39,"$50,240 "
Brandeis University,34,"$51,570 "
Bridgewater State University,NA,NA
Bristol Community College,NA,NA
Signature Healthcare Brockton Hospital School of Nursing,NA,NA
Bunker Hill Community College,NA,NA
Cambridge College,NA,NA
Cape Cod Community College,NA,NA
Catherine Hinds Institute of Esthetics,NA,NA
Laboure College,NA,NA
Clark University,71,"$43,150 "
Conway School of Landscape Design,NA,NA
Curry College,NA,NA
Lincoln Technical Institute-Somerville,NA,NA
Dean College,NA,NA
Diman Regional Technical Institute,NA,NA
National Aviation Academy of New England,NA,NA
Eastern Nazarene College,NA,NA
Emerson College,NA,NA
Emmanuel College,NA,NA
Endicott College,NA,NA
Episcopal Divinity School,NA,NA
Rob Roy Academy-Fall River,NA,NA
Fisher College,NA,NA
Fitchburg State University,NA,NA
Framingham State University,NA,NA
Benjamin Franklin Institute of Technology,NA,NA
Gordon College,NA,NA
Gordon-Conwell Theological Seminary,NA,NA
Greenfield Community College,NA,NA
Hampshire College,NA,NA
Harvard University,2,"$47,074 "
Hebrew College,NA,NA
Hellenic College-Holy Cross Greek Orthodox School of Theology,NA,NA
College of the Holy Cross,NA,NA
Holyoke Community College,NA,NA
Lasell College,NA,NA
Lawrence Memorial Hospital School of Nursing,NA,NA
Lesley University,186,"$25,750 "
Longy School of Music of Bard College,NA,NA
Lowell Academy Hairstyling Institute,NA,NA
University of Massachusetts-Lowell,148,"$29,125 "
Mansfield Beauty Schools-Springfield,NA,NA
Mansfield Beauty Schools-Quincy,NA,NA
University of Massachusetts-Amherst,73,"$30,123 "
University of Massachusetts-Boston,217,"$32,023 "
Massachusetts Bay Community College,NA,NA
MCPHS University,NA,NA
Massachusetts College of Art and Design,NA,NA
Massachusetts Institute of Technology,7,"$48,452 "
Massachusetts Maritime Academy,NA,NA
University of Massachusetts Medical School Worcester,NA,NA
William James College,NA,NA
Massachusetts School of Barbering,NA,NA
Massasoit Community College,NA,NA
Merrimack College,NA,NA
MGH Institute of Health Professions,NA,NA
Middlesex Community College,NA,NA
Montserrat College of Art,NA,NA
Mount Holyoke College,NA,NA
Mount Ida College,NA,NA
Mount Wachusett Community College,NA,NA
School of the Museum of Fine Arts at Tufts University,NA,NA
Rob Roy Academy-New Bedford,NA,NA
The New England Conservatory of Music,NA,NA
New England College of Optometry,NA,NA
New England Law-Boston,NA,NA
New England School of Photography,NA,NA
Newbury College,NA,NA
Nichols College,NA,NA
Massachusetts College of Liberal Arts,NA,NA
North Bennet Street School,NA,NA
North Shore Community College,NA,NA
The New England Institute of Art,NA,NA
Northeastern University,40,"$47,655 "
Northern Essex Community College,NA,NA
College of Our Lady of the Elms,NA,NA
Pine Manor College,NA,NA
Pope St John XXIII National Seminary,NA,NA
Quincy College,NA,NA
Quinsigamond Community College,NA,NA
Regis College,NA,NA
Roxbury Community College,NA,NA
Saint John's Seminary,NA,NA
Salem State University,NA,NA
Salter College-West Boylston,NA,NA
Simmons College,NA,NA
Bard College at Simon's Rock,NA,NA
Smith College,NA,NA
Southeastern Technical Institute,NA,NA
Springfield College,NA,NA
Springfield Technical Community College,NA,NA
University of Massachusetts-Dartmouth,218,"$19,270 "
Stonehill College,NA,NA
Suffolk University,178,"$35,578 "
Rob Roy Academy-Taunton,NA,NA
Tufts University,27,"$52,430 "
Wellesley College,NA,NA
Wentworth Institute of Technology,NA,NA
Western New England University,NA,NA
Westfield State University,NA,NA
Wheaton College,NA,NA
Wheelock College,NA,NA
Williams College,NA,NA
Worcester Polytechnic Institute,60,"$46,994 "
Worcester State University,NA,NA
Adrian College,NA,NA
Albion College,NA,NA
Hillsdale Beauty College,NA,NA
Northwestern Technological Institute,NA,NA
Alma College,NA,NA
Alpena Community College,NA,NA
Andrews University,172,"$27,684 "
Aquinas College,NA,NA
Baker College,NA,NA
Bay de Noc Community College,NA,NA
Bayshire Academy of Beauty Craft Inc,NA,NA
Cadillac Institute of Cosmetology,NA,NA
Calvin College,NA,NA
Calvin Theological Seminary,NA,NA
Carnegie Institute,NA,NA
Michigan School of Professional Psychology,NA,NA
Central Michigan University,191,"$23,670 "
Mott Community College,NA,NA
Empire Beauty School-Michigan,NA,NA
Cleary University,NA,NA
Concordia University-Ann Arbor,NA,NA
Cranbrook Academy of Art,NA,NA
College for Creative Studies,NA,NA
Davenport University,NA,NA
David Pressley School of Cosmetology,NA,NA
Delta College,NA,NA
Detroit Business Institute-Downriver,NA,NA
Michigan State University-College of Law,NA,NA
MIAT College of Technology,NA,NA
University of Detroit Mercy,NA,NA
Dorsey Business Schools-Madison Heights,NA,NA
Dorsey Business Schools-Southgate,NA,NA
Eastern Michigan University,NA,NA
Creative Hair School of Cosmetology,NA,NA
Ferris State University,NA,NA
Flint Institute of Barbering Inc,NA,NA
Glen Oaks Community College,NA,NA
Kettering University,NA,NA
Gogebic Community College,NA,NA
Grace Bible College,NA,NA
Cornerstone University,NA,NA
Grand Rapids Community College,NA,NA
Grand Valley State University,NA,NA
Great Lakes Christian College,NA,NA
Henry Ford College,NA,NA
Hope College,NA,NA
Jackson College,NA,NA
Kalamazoo College,NA,NA
Kalamazoo Valley Community College,NA,NA
Kellogg Community College,NA,NA
Kirtland Community College,NA,NA
Michigan College of Beauty-Monroe,NA,NA
Lake Michigan College,NA,NA
Lake Superior State University,NA,NA
Lansing Community College,NA,NA
Lawrence Technological University,NA,NA
M J Murphy Beauty College of Mount Pleasant,NA,NA
Macomb Community College,NA,NA
Madonna University,NA,NA
Marygrove College,NA,NA
Rochester College,NA,NA
University of Michigan-Ann Arbor,29,"$43,476 "
Michigan Barber School Inc,NA,NA
Michigan State University,79,"$39,090 "
Michigan Technological University,111,"$30,968 "
University of Michigan-Dearborn,NA,NA
University of Michigan-Flint,NA,NA
Mid Michigan Community College,NA,NA
Monroe County Community College,NA,NA
Montcalm Community College,NA,NA
Mr Bela's School of Cosmetology Inc,NA,NA
Muskegon Community College,NA,NA
Altierus Career Education-Southfield,NA,NA
North Central Michigan College,NA,NA
Northern Michigan University,NA,NA
Paul Mitchell the School-Escanaba,NA,NA
Northwestern Michigan College,NA,NA
Northwood University,NA,NA
Oakland Community College,NA,NA
Oakland University,NA,NA
Olivet College,NA,NA
Port Huron Cosmetology College,NA,NA
Kuyper College,NA,NA
Ross Medical Education Center-Lansing,NA,NA
Ross Medical Education Center-Madison Heights,NA,NA
Ross Medical Education Center-Flint,NA,NA
Sacred Heart Major Seminary,NA,NA
Saginaw Valley State University,NA,NA
Schoolcraft College,NA,NA
Siena Heights University,NA,NA
St Clair County Community College,NA,NA
Southwestern Michigan College,NA,NA
Specs Howard School of Media Arts,NA,NA
Spring Arbor University,NA,NA
Michigan Career and Technical Institute,NA,NA
Finlandia University,NA,NA
Western Michigan University-Thomas M. Cooley Law School,NA,NA
Twin City Beauty College,NA,NA
Walsh College of Accountancy and Business Administration,NA,NA
Washtenaw Community College,NA,NA
Wayne County Community College District,NA,NA
Wayne State University,NA,NA
West Shore Community College,NA,NA
Paul Mitchell the School-Grand Rapids,NA,NA
Western Michigan University,184,"$25,713 "
Western Theological Seminary,NA,NA
Wright Beauty Academy,NA,NA
Academy College,NA,NA
Alexandria Technical & Community College,NA,NA
American Indian OIC Inc,NA,NA
Anoka Technical College,NA,NA
Anoka-Ramsey Community College,NA,NA
Augsburg University,NA,NA
Riverland Community College,NA,NA
Northwest Technical College,NA,NA
Bemidji State University,NA,NA
Bethany Lutheran College,NA,NA
Bethel University,NA,NA
Bethel Seminary-St Paul,NA,NA
Central Lakes College-Brainerd,NA,NA
Carleton College,NA,NA
Concordia College at Moorhead,NA,NA
Concordia University-Saint Paul,NA,NA
Dakota County Technical College,NA,NA
Martin Luther College,NA,NA
Lake Superior College,NA,NA
Cosmetology Careers Unlimited College of Hair Skin and Nails,NA,NA
Duluth Business University,NA,NA
Minnesota State Community and Technical College,NA,NA
Minnesota West Community and Technical College,NA,NA
Gustavus Adolphus College,NA,NA
Hamline University,NA,NA
Hazelden Betty Ford Graduate School of Addiction Studies,NA,NA
Hennepin Technical College,NA,NA
Cosmetology Careers Unlimited College of Hair Skin and Nails,NA,NA
Hibbing Community College,NA,NA
Aveda Institute-Minneapolis,NA,NA
Inver Hills Community College,NA,NA
Itasca Community College,NA,NA
The Art Institutes International-Minnesota,NA,NA
Luther Seminary,NA,NA
Macalester College,NA,NA
South Central College,NA,NA
Minnesota State University-Mankato,NA,NA
Mayo Clinic School of Medicine,NA,NA
Mayo Clinic School of Health Sciences,NA,NA
Argosy University-Twin Cities,NA,NA
Mesabi Range College,NA,NA
Metropolitan State University,NA,NA
University of Minnesota-Twin Cities,69,"$22,210 "
University of Minnesota-Crookston,NA,NA
Minneapolis Business College,NA,NA
Minneapolis College of Art and Design,NA,NA
Minneapolis Community and Technical College,NA,NA
Herzing University-Minneapolis,NA,NA
Minnesota School of Cosmetology-Woodbury Campus,NA,NA
University of Minnesota-Duluth,NA,NA
University of Minnesota-Morris,NA,NA
Model College of Hair Design,NA,NA
Minnesota State University Moorhead,NA,NA
North Hennepin Community College,NA,NA
National American University-Roseville,NA,NA
Sanford-Brown College-Mendota Heights,NA,NA
Normandale Community College,NA,NA
North Central University,NA,NA
Northland Community and Technical College,NA,NA
University of Northwestern-St Paul,NA,NA
Northwestern Health Sciences University,NA,NA
Oak Hills Christian College,NA,NA
Pine Technical & Community College,NA,NA
Rainy River Community College,NA,NA
Rochester Community and Technical College,NA,NA
College of Saint Benedict,NA,NA
St Cloud Technical and Community College,NA,NA
Saint Cloud State University,NA,NA
Saint Johns University,158,"$39,460 "
Saint Mary's University of Minnesota,NA,NA
St Olaf College,NA,NA
Crown College,NA,NA
The College of Saint Scholastica,NA,NA
University of St Thomas,116,"$39,594 "
Empire Beauty School-Bloomington,NA,NA
St Catherine University,NA,NA
Rasmussen College-Minnesota,NA,NA
Saint Paul College,NA,NA
Southwest Minnesota State University,NA,NA
Summit Academy Opportunities Industrialization Center,NA,NA
United Theological Seminary of the Twin Cities,NA,NA
Vermilion Community College,NA,NA
Dunwoody College of Technology,NA,NA
Ridgewater College,NA,NA
Minnesota State College Southeast,NA,NA
Winona State University,NA,NA
Mitchell Hamline School of Law,NA,NA
Century College,NA,NA
Alcorn State University,NA,NA
Belhaven University,NA,NA
Blue Mountain College,NA,NA
Chris Beauty College,NA,NA
Coahoma Community College,NA,NA
Antonelli College-Jackson,NA,NA
Copiah-Lincoln Community College,NA,NA
Delta Beauty College,NA,NA
Delta State University,NA,NA
East Central Community College,NA,NA
East Mississippi Community College,NA,NA
Fosters Cosmetology College,NA,NA
Academy of Hair Design-Grenada,NA,NA
Hinds Community College,NA,NA
Holmes Community College,NA,NA
Itawamba Community College,NA,NA
Jackson State University,NA,NA
Jones County Junior College,NA,NA
Meridian Community College,NA,NA
Millsaps College,NA,NA
Mississippi Delta Community College,NA,NA
University of Mississippi,108,"$25,892 "
University of Mississippi,132,"$22,012 "
Mississippi University for Women,NA,NA
Mississippi Valley State University,NA,NA
Mississippi College,NA,NA
Mississippi College of Beauty Culture,NA,NA
Mississippi Gulf Coast Community College,NA,NA
Mississippi State University,167,"$20,142 "
Northeast Mississippi Community College,NA,NA
Northwest Mississippi Community College,NA,NA
Pearl River Community College,NA,NA
Rust College,NA,NA
Southeastern Baptist College,NA,NA
Southwest Mississippi Community College,NA,NA
University of Southern Mississippi,213,"$16,094 "
Magnolia College of Cosmetology,NA,NA
Tougaloo College,NA,NA
Wesley Biblical Seminary,NA,NA
William Carey University,NA,NA
Aquinas Institute of Theology,NA,NA
Evangel University - Assemblies of God Theological Seminary,NA,NA
Avila University,NA,NA
Baptist Bible College,NA,NA
House of Heavilin Beauty College-Blue Springs,NA,NA
Cox College,NA,NA
Calvary University,NA,NA
Cape Girardeau Career and Technology Center,NA,NA
Central Christian College of the Bible,NA,NA
Central Methodist University-College of Liberal Arts and Sciences,NA,NA
University of Central Missouri,NA,NA
Grand River Technical School,NA,NA
Cleveland University-Kansas City,NA,NA
Columbia Area Career Center,NA,NA
Columbia College,NA,NA
Conception Seminary College,NA,NA
Concordia Seminary,NA,NA
Cottey College,NA,NA
Covenant Theological Seminary,NA,NA
Crowder College,NA,NA
Culver-Stockton College,NA,NA
Drury University,NA,NA
East Central College,NA,NA
Eden Theological Seminary,NA,NA
Elaine Steven Beauty College,NA,NA
Pinnacle Career Institute-South Kansas City,NA,NA
Evangel University,NA,NA
Fontbonne University,NA,NA
Four Rivers Career Center,NA,NA
Ozarks Technical Community College,NA,NA
Hannibal-LaGrange University,NA,NA
Harris-Stowe State University,NA,NA
Hickey College,NA,NA
House of Heavilin Beauty College-Kansas City,NA,NA
Independence College of Cosmetology,NA,NA
Jefferson College,NA,NA
Paul Mitchell the School-Missouri Columbia,NA,NA
Barnes-Jewish College Goldfarb School of Nursing,NA,NA
Kansas City Art Institute,NA,NA
Kenrick Glennon Seminary,NA,NA
A T Still University of Health Sciences,NA,NA
Lake Career and Technical Center,NA,NA
Lex La-Ray Technical Center,NA,NA
Lincoln University,NA,NA
Lindenwood University,NA,NA
State Technical College of Missouri,NA,NA
Logan University,NA,NA
Metropolitan Community College-Kansas City,NA,NA
Maryville University of Saint Louis,156,"$27,958 "
Merrell University of Beauty Arts and Science,NA,NA
Metro Business College-Cape Girardeau,NA,NA
Midwest Institute,NA,NA
Midwestern Baptist Theological Seminary,NA,NA
Mineral Area College,NA,NA
Missouri Baptist University,NA,NA
National Academy of Beauty Arts-Farmington,NA,NA
Missouri School of Barbering,NA,NA
Missouri Southern State University,NA,NA
Missouri Valley College,NA,NA
Missouri Western State University,NA,NA
University of Missouri-Columbia,NA,NA
University of Missouri-Kansas City,202,"$22,714 "
Missouri University of Science and Technology,157,"$26,152 "
University of Missouri-St Louis,219,"$26,277 "
Moberly Area Community College,NA,NA
Hillyard Technical Center,NA,NA
National Academy of Beauty Arts-St Louis,NA,NA
Nazarene Theological Seminary,NA,NA
Neosho Beauty College,NA,NA
Truman State University,NA,NA
Northwest Missouri State University,NA,NA
Ozark Christian College,NA,NA
College of the Ozarks,NA,NA
Park University,NA,NA
Stevens-The Institute of Business & Arts,NA,NA
Poplar Bluff Technical Career Center,NA,NA
Ranken Technical College,NA,NA
Research College of Nursing,NA,NA
Rockhurst University,NA,NA
Rolla Technical Institute/Center,NA,NA
Everest College-Springfield,NA,NA
Saint Louis University,92,"$40,726 "
Salem College of Hairstyling,NA,NA
American College of Hair Design Inc,NA,NA
Sikeston Career and Technology Center,NA,NA
Saint Louis Christian College,NA,NA
St. Louis College of Pharmacy,NA,NA
Saint Louis Community College,NA,NA
Saint Paul School of Theology,NA,NA
Southwest Baptist University,NA,NA
Missouri State University-West Plains,NA,NA
Saint Luke's College of Health Sciences,NA,NA
St Louis College of Health Careers-St Louis,NA,NA
State Fair Community College,NA,NA
Stephens College,NA,NA
Southeast Missouri State University,NA,NA
Missouri State University-Springfield,NA,NA
Three Rivers College,NA,NA
North Central Missouri College,NA,NA
Kansas City University of Medicine and Biosciences,NA,NA
Washington University in St Louis,19,"$49,770 "
Webster University,NA,NA
Wentworth Military Academy and College,NA,NA
Westminster College,NA,NA
William Jewell College,NA,NA
William Woods University,NA,NA
Academy of Cosmetology,NA,NA
Blackfeet Community College,NA,NA
Butte Academy of Beauty Culture,NA,NA
Highlands College of Montana Tech,NA,NA
Crevier's Academy of Cosmetology Arts,NA,NA
Carroll College,NA,NA
Dawson Community College,NA,NA
Chief Dull Knife College,NA,NA
Montana State University-Billings,NA,NA
Flathead Valley Community College,NA,NA
Aaniiih Nakoda College,NA,NA
Fort Peck Community College,NA,NA
Great Falls College Montana State University,NA,NA
University of Providence,NA,NA
Helena College University of Montana,NA,NA
Little Big Horn College,NA,NA
Miles Community College,NA,NA
Montana Tech of the University of Montana,NA,NA
Montana State University,200,"$23,042 "
The University of Montana,NA,NA
Montana State University-Northern,NA,NA
Rocky Mountain College,NA,NA
Salish Kootenai College,NA,NA
The University of Montana-Western,NA,NA
La'James International College,NA,NA
Bellevue University,NA,NA
Clarkson College,NA,NA
Bryan College of Health Sciences,NA,NA
Central Community College,NA,NA
Chadron State College,NA,NA
College of Hair Design-Downtown,NA,NA
Concordia University-Nebraska,NA,NA
Creighton University,NA,NA
Doane University-Arts & Sciences,NA,NA
Grace University,NA,NA
Hastings College,NA,NA
CHI Health School of Radiologic Technology,NA,NA
Joseph's College Cosmetology,NA,NA
University of Nebraska at Kearney,NA,NA
Kaplan University-Lincoln Campus,NA,NA
Nebraska Methodist College of Nursing & Allied Health,NA,NA
Metropolitan Community College Area,NA,NA
Mid-Plains Community College,NA,NA
Midland University,NA,NA
Nebraska Christian College of Hope International University,NA,NA
University of Nebraska at Omaha,NA,NA
Kaplan University-Omaha Campus,NA,NA
Nebraska Indian Community College,NA,NA
University of Nebraska Medical Center,NA,NA
Nebraska Wesleyan University,NA,NA
University of Nebraska-Lincoln,109,"$23,148 "
Northeast Community College,NA,NA
Peru State College,NA,NA
Summit Christian College,NA,NA
College of Saint Mary,NA,NA
Southeast Community College Area,NA,NA
Union College,NA,NA
Nebraska College of Technical Agriculture,NA,NA
Wayne State College,NA,NA
Western Nebraska Community College,NA,NA
York College,NA,NA
Academy of Hair Design-Las Vegas,NA,NA
Career College of Northern Nevada,NA,NA
College of Southern Nevada,NA,NA
The Art Institute of Las Vegas,NA,NA
Altierus Career College-Henderson,NA,NA
University of Nevada-Las Vegas,NA,NA
University of Nevada-Reno,190,"$21,052 "
Great Basin College,NA,NA
Sierra Nevada College,NA,NA
Truckee Meadows Community College,NA,NA
Western Nevada College,NA,NA
Colby-Sawyer College,NA,NA
Continental Academie of Hair Design-Hudson,NA,NA
Dartmouth College,11,"$51,438 "
Empire Beauty School-Laconia,NA,NA
Empire Beauty School-Somersworth,NA,NA
Franklin Pierce University,NA,NA
University of New Hampshire-School of Law,102,"$31,424 "
Keene Beauty Academy,NA,NA
Northeast Catholic College,NA,NA
Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School,NA,NA
New England College,NA,NA
New England School of Hair Design,NA,NA
Southern New Hampshire University,NA,NA
New Hampshire Institute for Therapeutic Arts,NA,NA
University of New Hampshire-Main Campus,NA,NA
Keene State College,NA,NA
University of New Hampshire at Manchester,NA,NA
Plymouth State University,NA,NA
NHTI-Concord's Community College,NA,NA
White Mountains Community College,NA,NA
River Valley Community College,NA,NA
Lakes Region Community College,NA,NA
Manchester Community College,NA,NA
Nashua Community College,NA,NA
Great Bay Community College,NA,NA
Paul Mitchell the School-Portsmouth,NA,NA
Rivier University,NA,NA
Saint Anselm College,NA,NA
St Joseph School of Nursing,NA,NA
Granite State College,NA,NA
Thomas More College of Liberal Arts,NA,NA
Eastwick College-Hackensack,NA,NA
Atlantic Cape Community College,NA,NA
Fortis Institute-Wayne,NA,NA
Bergen Community College,NA,NA
Berkeley College-Woodland Park,NA,NA
Beth Medrash Govoha,NA,NA
Bloomfield College,NA,NA
Brookdale Community College,NA,NA
Rowan College at Burlington County,NA,NA
Caldwell University,NA,NA
Camden County College,NA,NA
Centenary University,NA,NA
Adult and Continuing Education-BCTS,NA,NA
Branford Hall Career Institute-Parsippany,NA,NA
Lincoln Technical Institute-Iselin,NA,NA
American Institute-Clifton,NA,NA
County College of Morris,NA,NA
Cumberland County College,NA,NA
Divers Academy International,NA,NA
Drew University,NA,NA
Lincoln Technical Institute-South Plainfield,NA,NA
Essex County College,NA,NA
Empire Beauty School-Union,NA,NA
Fairleigh Dickinson University-Metropolitan Campus,NA,NA
Felician University,NA,NA
Fairleigh Dickinson University-Florham Campus,NA,NA
Hohokus School of Trade and Technical Sciences,NA,NA
Georgian Court University,NA,NA
Rowan University,NA,NA
Rowan College at Gloucester County,NA,NA
Empire Beauty School-Cherry Hill,NA,NA
Harris School of Business-Cherry Hill Campus,NA,NA
Eastwick College-Ramsey,NA,NA
Holy Name Medical Center School of Nursing,NA,NA
Hudson County Community College,NA,NA
New Jersey City University,NA,NA
Joe Kubert School of Cartoon and Graphic Art,NA,NA
Kean University,NA,NA
Harris School of Business-Voorhees Campus,NA,NA
Lincoln Technical Institute-Union,NA,NA
Rizzieri Aveda School for Beauty and Wellness,NA,NA
Mercer County Community College,NA,NA
Middlesex County College,NA,NA
Monmouth University,NA,NA
Montclair State University,168,"$20,318 "
JFK Muhlenberg Harold B & Dorothy A Snyder Schools-School of Nursing,NA,NA
Eastwick College-Nutley,NA,NA
New Brunswick Theological Seminary,NA,NA
Robert Fiance Beauty Schools-West New York,NA,NA
New Jersey Institute of Technology,130,"$30,326 "
Ocean County College,NA,NA
P B Cosmetology Education Center,NA,NA
Parisian Beauty School,NA,NA
Passaic County Community College,NA,NA
Pennco Tech-Blackwood,NA,NA
Princeton Theological Seminary,NA,NA
Princeton University,1,"$45,320 "
Rabbinical College of America,NA,NA
Ramapo College of New Jersey,NA,NA
Robert Fiance Beauty Schools-Perth Amboy,NA,NA
Rider University,NA,NA
Roman Academy of Beauty Culture,NA,NA
Rutgers University-Camden,NA,NA
Rutgers University-New Brunswick,66,"$30,023 "
Rutgers University-Newark,133,"$29,480 "
St Francis Medical Center-School of Radiologic Technology,NA,NA
Saint Francis Medical Center School of Nursing,NA,NA
Saint Peter's University,NA,NA
Salem Community College,NA,NA
Seton Hall University,112,"$39,258 "
Atlantic Beauty & Spa Academy LLC,NA,NA
College of Saint Elizabeth,NA,NA
Raritan Valley Community College,NA,NA
Stevens Institute of Technology,68,"$48,838 "
Stockton University,NA,NA
Talmudical Academy-New Jersey,NA,NA
Teterboro School of Aeronautics,NA,NA
Thomas Edison State University,NA,NA
The College of New Jersey,NA,NA
Union County College,NA,NA
William Paterson University of New Jersey,NA,NA
Olympian Academy of Cosmetology,NA,NA
Central New Mexico Community College,NA,NA
Navajo Technical University,NA,NA
De Wolff College Hair Styling and Cosmetology,NA,NA
