Name,Rank,Tuition and fees
Western State College of Law at Argosy University,NA,NA
Thomas Jefferson School of Law,NA,NA
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,NA,NA
Yuba College,NA,NA
The Salon Professional Academy-Grand Junction,NA,NA
Adams State University,NA,NA
Aims Community College,NA,NA
Arapahoe Community College,NA,NA
Bel-Rea Institute of Animal Technology,NA,NA
Altierus Career College-Colorado Springs,NA,NA
University of Colorado Denver/Anschutz Medical Campus,189,"$29,334 "
University of Colorado Colorado Springs,NA,NA
Spartan College of Aeronautics and Technology,NA,NA
University of Colorado Boulder,90,"$35,079 "
Colorado Christian University,NA,NA
Colorado College,NA,NA
Concorde Career College-Aurora,NA,NA
The Art Institute of Colorado,NA,NA
Colorado Mountain College,NA,NA
Colorado Northwestern Community College,NA,NA
Colorado School of Mines,78,"$34,828 "
Colorado School of Trades,NA,NA
Colorado State University-Fort Collins,124,"$28,374 "
Colorado Technical University-Colorado Springs,NA,NA
Community College of Aurora,NA,NA
CollegeAmerica-Denver,NA,NA
Delta Montrose Technical College,NA,NA
Community College of Denver,NA,NA
Lincoln College of Technology-Denver,NA,NA
Denver Seminary,NA,NA
University of Denver,83,"$46,362 "
Emily Griffith Technical College,NA,NA
Fort Lewis College,NA,NA
Front Range Community College,NA,NA
Glenwood Beauty Academy,NA,NA
Hair Dynamics Education Center,NA,NA
Iliff School of Theology,NA,NA
International Salon and Spa Academy,NA,NA
Lamar Community College,NA,NA
Colorado Mesa University,NA,NA
Metropolitan State University of Denver,NA,NA
Morgan Community College,NA,NA
Naropa University,NA,NA
National American University-Colorado Springs,NA,NA
Nazarene Bible College,NA,NA
Northeastern Junior College,NA,NA
University of Northern Colorado,NA,NA
Otero Junior College,NA,NA
Altierus Career College-Thornton,NA,NA
Pikes Peak Community College,NA,NA
IBMC College,NA,NA
Pueblo Community College,NA,NA
Red Rocks Community College,NA,NA
Regis University,NA,NA
Rocky Mountain College of Art and Design,NA,NA
Montessori Education Center of the Rockies,NA,NA
Colorado State University-Pueblo,NA,NA
Pickens Technical College,NA,NA
Intellitec College-Colorado Springs,NA,NA
Intellitec College-Grand Junction,NA,NA
Trinidad State Junior College,NA,NA
Empire Beauty School-Thornton,NA,NA
Western State Colorado University,NA,NA
Albertus Magnus College,NA,NA
Paul Mitchell the School-Danbury,NA,NA
Asnuntuck Community College,NA,NA
Branford Hall Career Institute-Branford Campus,NA,NA
Lincoln College of New England-Southington,NA,NA
Bridgeport Hospital School of Nursing,NA,NA
University of Bridgeport,NA,NA
Central Connecticut State University,NA,NA
Charter Oak State College,NA,NA
Connecticut Center for Massage Therapy-Newington,NA,NA
Connecticut College,NA,NA
Porter and Chester Institute of Branford,NA,NA
University of Connecticut,59,"$35,858 "
Goodwin College,NA,NA
Lincoln Technical Institute-East Windsor,NA,NA
Eastern Connecticut State University,NA,NA
Fairfield University,NA,NA
Paul Mitchell the School-North Haven,NA,NA
Capital Community College,NA,NA
Rensselaer at Hartford,NA,NA
American Institute-West Hartford,NA,NA
Hartford Seminary,NA,NA
University of Hartford,179,"$37,790 "
Holy Apostles College and Seminary,NA,NA
Housatonic Community College,NA,NA
Manchester Community College,NA,NA
Naugatuck Valley Community College,NA,NA
Middlesex Community College,NA,NA
Mitchell College,NA,NA
Three Rivers Community College,NA,NA
Lincoln Technical Institute-New Britain,NA,NA
New England Tractor Trailer Training School of Connecticut,NA,NA
University of New Haven,NA,NA
Ridley-Lowell Business & Technical Institute-New London,NA,NA
Norwalk Community College,NA,NA
Northwestern Connecticut Community College,NA,NA
Paier College of Art Inc,NA,NA
Porter and Chester Institute of Stratford,NA,NA
Post University,NA,NA
Quinebaug Valley Community College,NA,NA
Quinnipiac University,NA,NA
Sacred Heart University,NA,NA
University of Saint Joseph,NA,NA
Gateway Community College,NA,NA
St Vincent's College,NA,NA
Southern Connecticut State University,NA,NA
Stone Academy-West Haven,NA,NA
Tri-State College of Acupuncture,NA,NA
Trinity College,NA,NA
Tunxis Community College,NA,NA
Wesleyan University,NA,NA
Western Connecticut State University,NA,NA
Yale University,4,"$49,480 "
Margaret H Rollins School of Nursing at Beebe Medical Center,NA,NA
Dawn Career Institute LLC,NA,NA
Delaware Technical Community College-Terry,NA,NA
Delaware State University,NA,NA
University of Delaware,75,"$31,420 "
Goldey-Beacom College,NA,NA
Schilling-Douglas School of Hair Design LLC,NA,NA
Wesley College,NA,NA
Wilmington University,NA,NA
American University,70,"$44,853 "
Catholic University of America,121,"$42,536 "
University of the District of Columbia,NA,NA
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,NA,NA
Gallaudet University,NA,NA
George Washington University,54,"$51,950 "
Georgetown University,21,"$50,547 "
Howard University,119,"$24,908 "
Strayer University-District of Columbia,NA,NA
National Conservatory of Dramatic Arts,NA,NA
Trinity Washington University,NA,NA
Wesley Theological Seminary,NA,NA
Wyotech-Daytona,NA,NA
The Art Institute of Fort Lauderdale,NA,NA
Atlantic Technical College,NA,NA
The Baptist College of Florida,NA,NA
Barry University,NA,NA
Bethune-Cookman University,NA,NA
Lynn University,NA,NA
Bradford-Union Technical Center,NA,NA
Eastern Florida State College,NA,NA
Broward College,NA,NA
Carlos Albizu University-Miami,NA,NA
College of Central Florida,NA,NA
Johnson University Florida,NA,NA
University of Central Florida,170,"$22,467 "
Charlotte Technical College,NA,NA
Chipola College,NA,NA
Lorenzo Walker Technical College,NA,NA
Daytona State College,NA,NA
South University-West Palm Beach,NA,NA
Eckerd College,NA,NA
