"","Name","Rank","Tuition.and.fees","City","State","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History"
"32","University of Rochester",32,"$50,142 ","Rochester","NY","14627-0011","www.rochester.edu","43.126397","-77.631202","0.3553",2,"12","NULL",65364,"0","1","0","1","1","1","1","1","1","1","1","1"
"33","College of William and Mary",33,"$41,718 ","Williamsburg","VA","23187-8795","www.wm.edu","37.269489","-76.708214","0.3652",1,"23","1360",33630,"0","0","0","1","0","0","1","1","1","1","1","1"
"34","Brandeis University",34,"$51,570 ","Waltham","MA","02454-9110","www.brandeis.edu/","42.364947","-71.254716","0.3344",2,"13","1377",65954,"0","1","0","1","1","0","1","1","1","1","1","1"
"35","California Institute of Technology",35,"$32,404 ","Pasadena","CA","91125","www.caltech.edu","34.137349","-118.125878","0.0807",2,"12","1555",63471,"0","0","0","1","0","1","1","1","0","1","1","1"
"36","New York University",36,"$49,062 ","New York","NY","10012-1091","www.nyu.edu","40.729452","-73.997264","0.3187",2,"11","1371",67637,"0","0","0","1","1","2","1","1","1","2","2","1"
"37","Case Western Reserve University",37,"$46,006 ","Cleveland","OH","44106","www.case.edu","41.507419","-81.609596","0.3544",2,"11","1408",61371,"0","1","1","1","1","1","1","1","1","1","1","1"
"38","University of California-Santa Barbara",38,"$40,704 ","Santa Barbara","CA","93106","www.ucsb.edu","34.416297","-119.846426","0.3577",1,"22","1281",34998,"0","1","0","1","0","1","1","1","1","1","1","1"
"39","Boston University",39,"$50,240 ","Boston","MA","02215","www.bu.edu","42.351118","-71.107942","0.2943",2,"11","1328",65809,"0","0","1","1","1","1","1","1","1","1","1","1"
"40","Northeastern University",40,"$47,655 ","Boston","MA","02115-5005","www.northeastern.edu","42.339992","-71.088782","0.2888",2,"11","1434",62789,"0","1","1","1","0","1","1","1","1","1","1","1"
"41","Rensselaer Polytechnic Institute",41,"$50,797 ","Troy","NY","12180-3590","www.rpi.edu","42.729978","-73.676646","0.4435",2,"13","1365",66172,"0","1","1","1","0","1","1","1","1","1","1","0"
"42","Tulane University of Louisiana",42,"$51,010 ","New Orleans","LA","70118-5698","tulane.edu","29.940069","-90.122144","0.255",2,"11","1346",64926,"0","1","1","1","1","1","1","1","1","1","1","1"
"43","University of California-Irvine",43,"$39,458 ","Irvine","CA","92697","www.uci.edu/","33.648434","-117.841248","0.4065",1,"11","1206",31198,"0","1","1","1","1","1","1","1","1","1","1","1"
"44","Lehigh University",44,"$48,320 ","Bethlehem","PA","18015","www.lehigh.edu","40.606822","-75.380236","0.2611",2,"13","1340",60391,"0","1","1","1","0","1","1","1","1","1","1","1"
"45","University of Miami",45,"$47,004 ","Coral Gables","FL","33146","www.miami.edu/","25.72126","-80.278662","0.3771",2,"21","1323",59833,"0","1","1","1","1","1","1","1","1","1","1","1"
"46","University of California-Hastings College of Law",46,"$40,728 ","San Francisco","CA","94102-4978","www.uchastings.edu","37.781137","-122.4157","NULL",1,"11","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"47","University of California-San Diego",47,"$41,387 ","La Jolla","CA","92093","www.ucsd.edu","32.876598","-117.237793","0.3566",1,"11","1324",31043,"0","1","0","1","1","1","1","1","1","1","1","1"
"48","University of Illinois at Urbana-Champaign",48,"$31,320 ","Champaign","IL","61820-5711","www.illinois.edu/","40.104718","-88.229114","0.6007",1,"13","1320",29764,"1","1","1","1","1","1","1","1","1","1","1","1"
"49","University of Wisconsin-Madison",49,"$32,738 ","Madison","WI","53706-1380","www.wisc.edu","43.075409","-89.404098","0.5262",1,"11","1302",24594,"1","1","1","1","1","1","1","1","1","1","1","1"
"50","Pepperdine University",50,"$50,022 ","Malibu","CA","90263","www.pepperdine.edu/","34.037786","-118.707077","0.3687",2,"21","1251",66152,"0","0","0","1","1","0","1","1","1","1","2","1"
"51","University of Florida",51,"$28,666 ","Gainesville","FL","32611","www.ufl.edu/","29.64629","-82.347911","0.4594",1,"12","1287",20571,"1","1","1","2","1","1","2","1","2","2","1","1"
"52","Villanova University",52,"$49,280 ","Villanova","PA","19085-1699","www.villanova.edu","40.039388","-75.345457","0.435",2,"21","1350",62583,"0","1","0","1","1","1","1","1","1","1","2","1"
"53","University of Washington-Seattle Campus",53,"$34,791 ","Seattle","WA","98195-4550","www.washington.edu","47.65538","-122.30514","0.4535",1,"11","1266",25520,"1","1","1","1","2","1","1","1","1","2","1","1"
"54","George Washington University",54,"$51,950 ","Washington","DC","20052","www.gwu.edu","38.89923","-77.048363","0.4021",2,"11","1301",65218,"0","1","0","2","0","1","1","1","1","1","1","1"
"55","Southern Methodist University",55,"$50,358 ","Dallas","TX","75275-0221","www.smu.edu","32.845254","-96.784855","0.4892",2,"21","1330",66889,"0","1","0","1","1","1","1","1","1","1","1","1"
"56","University of Georgia",56,"$29,844 ","Athens","GA","30602","www.uga.edu","33.956262","-83.374039","0.539",1,"12","1262",24991,"1","1","1","1","2","1","1","1","1","1","2","1"
"57","Fordham University",57,"$47,317 ","Bronx","NY","10458","www.fordham.edu","40.859354","-73.882705","0.4522",2,"11","1281",63109,"0","1","0","1","1","1","1","1","1","1","1","1"
"58","Syracuse University",58,"$45,022 ","Syracuse","NY","13244","https://www.syracuse.edu","43.040176","-76.136975","0.5232",2,"12","1204",61070,"0","0","1","1","1","1","1","1","1","1","1","1"
"59","University of Connecticut",59,"$35,858 ","Storrs","CT","06269","uconn.edu/","41.809098","-72.249948","0.488",1,"21","1248",29128,"1","1","1","1","1","1","1","1","1","1","1","1"
"60","Worcester Polytechnic Institute",60,"$46,994 ","Worcester","MA","01609-2280","https://www.wpi.edu/","42.274853","-71.808339","0.4844",2,"12","NULL",60878,"0","0","0","1","0","1","1","1","1","1","1","0"
"61","University of Maryland-College Park",61,"$32,045 ","College Park","MD","20742","www.umd.edu","38.988178","-76.944721","0.4806",1,"21","1337",24041,"1","1","1","1","1","1","1","1","1","1","1","1"
"62","Clemson University",62,"$32,796 ","Clemson","SC","29634","www.clemson.edu","34.679381","-82.835114","0.5054",1,"21","1269",27722,"1","1","1","1","1","2","1","1","1","1","1","1"
"63","Yeshiva University",63,"$40,670 ","New York","NY","10033-3299","www.yu.edu","40.850605","-73.929873","0.5075",2,"11","1217",57355,"0","0","0","1","1","1","1","1","1","1","1","1"
"64","Brigham Young University-Provo",64,"$5,300 ","Provo","UT","84602","www.byu.edu","40.250851","-111.649281","0.5118",2,"12","1293",17395,"1","0","0","1","1","1","1","1","1","1","1","1"
