"","Name","Rank","Tuition.and.fees","City","State","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History"
"137","Oregon State University",136,"$28,846 ","Corvallis","OR","97331","oregonstate.edu","44.56395","-123.274723","0.7748",1,"13","1127",26189,"2","2","0","2","1","1","1","1","2","2","1","2"
"138","Washington State University",137,"$25,673 ","Pullman","WA","99164-5910","wsu.edu/","46.730448","-117.158168","0.7204",1,"32","1054",26441,"1","1","1","1","1","2","1","1","2","2","2","1"
"139","Adelphi University",138,"$34,034 ","Garden City","NY","11530-0701","www.adelphi.edu/","40.721439","-73.653321","0.7029",2,"21","1114",47647,"0","1","0","1","1","0","1","1","1","1","1","1"
"140","San Diego State University",139,"$18,244 ","San Diego","CA","92182","www.sdsu.edu","32.77525","-117.071228","0.3464",1,"11","1132",22056,"0","1","0","1","1","1","1","1","1","1","1","1"
"141","Sofia University",140,"$21,208 ","Palo Alto","CA","94303","www.sofia.edu","37.430325","-122.10866","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","2","0","0","0"
"142","Saint John Fisher College",141,"$31,880 ","Rochester","NY","14618-3597","https://www.sjfc.edu","43.116259","-77.513056","0.6454",2,"21","1078",43779,"0","0","0","1","1","0","1","1","1","1","1","1"
"143","Illinois State University",142,"$20,886 ","Normal","IL","61790-1000","illinoisstate.edu/","40.509403","-88.990058","0.8888",1,"22","1090",27421,"1","0","0","1","1","0","1","1","1","1","1","1"
"144","Immaculata University",143,"$35,210 ","Immaculata","PA","19345","www.immaculata.edu","40.027981","-75.570711","0.8189",2,"21","970",50339,"0","0","0","2","1","0","1","1","1","1","2","1"
"145","University of La Verne",144,"$39,900 ","La Verne","CA","91750-4401","www.laverne.edu/","34.10086","-117.772634","0.4806",2,"21","1040",50603,"0","1","0","1","1","0","1","1","1","1","2","1"
"146","Northwestern Oklahoma State University",145,"$20,978 ","Alva","OK","73717-2799","www.nwosu.edu","36.796658","-98.667673","0.4377",1,"33","970",14626,"1","0","0","1","1","0","1","1","1","1","2","1"
"147","University of California-Berkeley",146,"$39,944 ","Berkeley","CA","94720","www.berkeley.edu","37.871918","-122.260463","0.1693",1,"12","1422",34924,"0","1","1","1","0","1","1","1","1","1","1","1"
"148","University of Illinois at Chicago",147,"$26,526 ","Chicago","IL","60607","www.uic.edu","41.871837","-87.650503","0.7359",1,"11","1105",25131,"0","0","1","1","1","1","1","1","1","1","2","1"
"149","University of Massachusetts-Lowell",148,"$29,125 ","Lowell","MA","01854-5104","www.uml.edu","42.652864","-71.326809","0.6057",1,"21","1172",26318,"0","0","0","2","0","1","1","2","2","1","2","1"
"150","Seattle Pacific University",149,"$38,940 ","Seattle","WA","98119-1997","www.spu.edu","47.650214","-122.361667","0.8728",2,"11","1108",51149,"0","0","0","1","1","1","1","1","1","1","1","1"
"151","University of Rhode Island",150,"$28,852 ","Kingston","RI","02881","web.uri.edu/","41.484691","-71.527356","0.7276",1,"21","1081",27552,"1","1","1","1","1","1","1","1","1","1","1","1"
"152","University of Alabama at Birmingham",151,"$17,654 ","Birmingham","AL","35294-0110","www.uab.edu","33.505697","-86.799345","0.5814",1,"12","1125",22684,"0","0","0","1","1","1","1","1","1","1","2","1"
"153","University of Maryland-Baltimore County",152,"$24,492 ","Baltimore","MD","21250","umbc.edu","39.256686","-76.711607","0.5683",1,"21","1216",23818,"0","1","0","1","1","1","1","1","1","1","1","1"
"154","University of North Florida",153,"$17,325 ","Jacksonville","FL","32224-7699","www.unf.edu","30.27194","-81.509144","0.6453",1,"11","1110",20926,"0","0","0","1","1","1","1","1","1","1","1","1"
"155","Biola University",154,"$36,696 ","La Mirada","CA","90639-0001","https://www.biola.edu","33.906203","-118.014374","0.6485",2,"21","1093",48857,"0","1","0","1","1","1","1","1","1","1","1","1"
"156","Virginia Commonwealth University",155,"$31,608 ","Richmond","VA","23284-2512","www.vcu.edu/","37.547631","-77.453597","0.8115",1,"12","1094",29278,"0","1","0","1","1","1","1","1","1","1","1","1"
"157","Maryville University of Saint Louis",156,"$27,958 ","Saint Louis","MO","63141-7299","www.maryville.edu","38.644774","-90.505998","0.928",2,"21","1114",43804,"0","1","0","1","1","1","1","1","1","1","2","1"
"158","Missouri University of Science and Technology",157,"$26,152 ","Rolla","MO","65409","www.mst.edu/","37.953426","-91.775583","0.7933",1,"33","1265",21698,"0","0","0","1","0","1","1","1","1","1","1","1"
"159","Saint Johns University",158,"$39,460 ","Collegeville","MN","56321","www.csbsju.edu","45.580075","-94.393621","0.8778",2,"41","1134",52168,"0","1","0","1","1","0","1","1","1","1","1","1"
"160","Union University",159,"$30,420 ","Jackson","TN","38305-3697","www.uu.edu","35.676896","-88.858524","0.6257",2,"13","1200",47458,"0","0","0","1","1","1","1","1","1","1","2","1"
"161","Edgewood College",160,"$27,530 ","Madison","WI","53711-1997","www.edgewood.edu","43.057059","-89.422884","0.7587",2,"11","1069",39116,"0","1","0","1","1","0","1","1","1","1","1","1"
"162","Florida Institute of Technology",161,"$40,446 ","Melbourne","FL","32901-6975","www.fit.edu","28.065815","-80.622893","0.6133",2,"13","1179",55984,"0","1","0","1","1","1","1","1","1","0","1","0"
"163","University of Idaho",162,"$22,040 ","Moscow","ID","83844-2282","www.uidaho.edu","46.727406","-117.014167","0.7589",1,"32","1070",20045,"1","1","1","1","1","1","1","1","1","1","1","2"
"164","University of Louisville",163,"$24,626 ","Louisville","KY","40292-0001","www.louisville.edu","38.216862","-85.760412","0.7257",1,"11","1165",24768,"0","0","0","0","1","1","1","1","1","1","1","1"
"165","University of Wyoming",164,"$16,215 ","Laramie","WY","82071","www.uwyo.edu","41.311773","-105.57931","0.9508",1,"33","1102",19169,"1","1","0","1","1","1","1","1","1","1","1","1"
"166","Ball State University",165,"$25,428 ","Muncie","IN","47306","www.bsu.edu","40.203431","-85.409043","0.6225",1,"13","1057",23157,"0","1","1","1","1","1","1","1","1","1","2","1"
"167","Lipscomb University",166,"$29,756 ","Nashville","TN","37204-3951","www.lipscomb.edu","36.10469","-86.799304","0.6085",2,"11","1142",42170,"0","1","0","1","1","1","1","1","1","1","2","1"
"168","Mississippi State University",167,"$20,142 ","Mississippi State","MS","39762","www.msstate.edu","33.454852","-88.790139","0.5567",1,"33","1125",22818,"1","1","1","1","1","1","1","1","1","1","1","1"
"169","Montclair State University",168,"$20,318 ","Montclair","NJ","07043-1624","www.montclair.edu","40.860414","-74.198141","0.6613",1,"21","NULL",24885,"0","0","0","1","1","0","1","1","1","1","1","1"
"170","Texas Tech University",169,"$22,861 ","Lubbock","TX","79409-5005","www.ttu.edu","33.583448","-101.874783","0.626",1,"11","1117",22112,"2","1","1","1","0","1","1","1","1","1","1","1"
"171","University of Central Florida",170,"$22,467 ","Orlando","FL","32816","www.ucf.edu/","28.602159","-81.200889","0.4999",1,"21","1179",21168,"0","0","1","1","2","1","1","1","2","2","1","2"
"172","University of New Mexico-Gallup Campus",171,"$21,302 ","Gallup","NM","87301","www.gallup.unm.edu","35.502662","-108.727252","NULL",1,"41","NULL",12891,"0","0","0","0","0","0","0","0","0","0","0","0"
"173","Andrews University",172,"$27,684 ","Berrien Springs","MI","49104","www.andrews.edu","41.963859","-86.355815","0.4042",2,"31","1127",36529,"1","0","1","1","1","1","1","1","1","1","1","1"
"174","Azusa Pacific University",173,"$36,120 ","Azusa","CA","91702-7000","www.apu.edu","34.130047","-117.888375","0.6146",2,"21","1035",48284,"0","0","0","2","1","0","1","1","1","1","2","1"
"175","University of Maine",174,"$29,498 ","Orono","ME","04469","www.umaine.edu/","44.899257","-68.669332","0.8975",1,"23","1073",22904,"1","1","0","1","1","1","1","1","1","2","1","1"
"176","West Virginia University",175,"$21,432 ","Morgantown","WV","26506","www.wvu.edu","39.634371","-79.954391","0.7612",1,"13","1069",19512,"1","1","1","1","1","1","1","1","1","1","1","1"
"177","Widener University",176,"$42,870 ","Chester","PA","19013-5792","www.widener.edu","39.861689","-75.355363","0.6973",2,"21","1040",55342,"0","1","0","1","1","1","1","1","1","1","1","1"
"178","Robert Morris University",177,"$28,250 ","Moon Township","PA","15108-1189","www.rmu.edu","40.520415","-80.210468","0.7984",2,"21","1050",42015,"0","1","0","1","2","1","1","1","2","2","2","1"
"179","Suffolk University",178,"$35,578 ","Boston","MA","02108-2770","www.suffolk.edu","42.358944","-71.061788","0.8442",2,"11","1020",48936,"0","1","0","1","1","1","1","1","1","1","1","1"
"180","University of Hartford",179,"$37,790 ","West Hartford","CT","06117-1599","www.hartford.edu","41.798591","-72.715213","0.7193",2,"12","1046",51495,"0","0","0","1","1","1","1","1","1","1","1","1"
"181","Athens State University",180,"$18,376 ","Athens","AL","35611","www.athens.edu","34.806793","-86.964698","NULL",1,"31","NULL",NA,"0","0","0","2","2","0","1","1","1","1","2","1"
"182","North Dakota State University-Main Campus",181,"$19,790 ","Fargo","ND","58108-6050","https://www.ndsu.edu","46.893127","-96.800838","0.928",1,"12","1091",19602,"1","1","1","1","1","1","1","1","1","2","1","1"
"183","Alabama State University",182,"$42,772 ","Montgomery","AL","36104-0271","www.alasu.edu","32.364317","-86.295677","0.459",1,"12","825",19242,"0","0","0","1","1","1","1","1","2","1","1","1"
"184","University of Houston",183,"$25,410 ","Houston","TX","77204-2018","www.uh.edu/","29.720393","-95.343537","0.5854",1,"11","1152",23858,"0","1","1","1","0","1","1","1","1","1","1","1"
"185","Western Michigan University",184,"$25,713 ","Kalamazoo","MI","49008-5200","https://wmich.edu/","42.282194","-85.613759","0.8231",1,"13","1030",23598,"0","1","1","1","1","1","1","1","1","1","1","1"
"186","Bowling Green State University-Firelands",185,"$18,332 ","Huron","OH","44839-9791","www.firelands.bgsu.edu","41.397521","-82.594156","NULL",1,"41","NULL",14572,"0","0","0","0","0","0","0","0","0","0","0","0"
"187","Lesley University",186,"$25,750 ","Cambridge","MA","02138-2790","www.lesley.edu","42.38012","-71.117303","0.6373",2,"12","1064",40889,"0","1","0","0","2","0","1","1","2","2","2","1"
"188","Indiana University-Purdue University-Indianapolis",187,"$29,791 ","Indianapolis","IN","46202-5143","www.iupui.edu","39.772948","-86.172217","0.7397",1,"11","1025",20451,"0","1","0","1","1","1","1","1","1","1","2","1"
"189","University of Alabama in Huntsville",188,"$20,622 ","Huntsville","AL","35899","www.uah.edu","34.724557","-86.640449","0.7628",1,"12","1257",22059,"0","0","0","1","1","1","1","1","1","1","1","1"
"190","University of Colorado Denver/Anschutz Medical Campus",189,"$29,334 ","Denver","CO","80217-3364","www.ucdenver.edu/","39.745149","-104.837722","0.6052",1,"11","1077",20306,"0","0","1","1","2","1","1","1","2","2","2","1"
"191","University of Nevada-Reno",190,"$21,052 ","Reno","NV","89557","www.unr.edu/","39.543642","-119.815377","0.8281",1,"12","1088",20702,"1","1","0","1","1","1","1","1","1","1","1","1"
"192","Central Michigan University",191,"$23,670 ","Mount Pleasant","MI","48859","https://www.cmich.edu","43.591203","-84.77525","0.7156",1,"32","1049",22778,"0","1","0","1","1","1","1","1","2","2","2","1"
"193","Louisiana Tech University",192,"$25,851 ","Ruston","LA","71272","www.latech.edu","32.528297","-92.649963","0.6319",1,"32","1105",18954,"1","1","1","1","1","1","1","1","1","1","2","1"
"194","South Dakota State University",193,"$11,403 ","Brookings","SD","57007-1898","https://www.sdstate.edu/","44.317485","-96.782139","0.9076",1,"33","1069",25761,"1","1","1","1","2","1","1","1","1","2","1","1"
"195","University of North Dakota",194,"$18,899 ","Grand Forks","ND","58202-8193","und.edu","47.921654","-97.071738","0.8369",1,"13","1090",19290,"0","0","0","1","2","1","1","1","2","1","1","1"
"196","University of South Dakota",195,"$11,688 ","Vermillion","SD","57069-2390","WWW.USD.EDU","42.786019","-96.925283","0.8813",1,"32","1050",20806,"0","0","0","1","1","0","1","1","1","1","1","1"
"197","California State University-Fullerton",196,"$17,596 ","Fullerton","CA","92831-3599","www.fullerton.edu","33.881506","-117.885446","0.4823",1,"21","1017",17049,"0","0","0","1","1","1","1","1","1","2","2","1"
"198","University of Alaska Fairbanks",197,"$22,469 ","Fairbanks","AK","99775-7500","www.uaf.edu","64.85756","-147.823146","0.7347",1,"23","1060",16694,"0","1","0","1","2","1","1","1","1","1","2","1"
"199","University of North Carolina at Charlotte",198,"$20,193 ","Charlotte","NC","28223-0001","www.uncc.edu","35.306022","-80.730919","0.6203",1,"11","1112",19723,"0","0","1","1","1","1","1","1","1","1","1","1"
"200","East Carolina University",199,"$22,904 ","Greenville","NC","27858-4353","www.ecu.edu","35.607186","-77.368291","0.7034",1,"13","1040",20567,"0","0","1","2","2","1","1","1","1","1","2","1"
"201","Montana State University",200,"$23,042 ","Bozeman","MT","59717","www.montana.edu/","45.666726","-111.048812","0.8287",1,"33","1126",19441,"1","2","1","1","2","1","1","2","1","1","1","1"
"202","Old Dominion University",201,"$27,028 ","Norfolk","VA","23529","www.odu.edu","36.886418","-76.30666","0.8464",1,"12","1010",22806,"0","0","0","2","2","2","1","1","2","2","2","1"
"203","University of Missouri-Kansas City",202,"$22,714 ","Kansas City","MO","64110","www.umkc.edu/","39.034179","-94.582141","0.6187",1,"11","1126",21575,"0","1","1","1","1","1","1","1","1","1","1","1"
"204","Ashland University",203,"$20,392 ","Ashland","OH","44805","https://www.ashland.edu","40.861755","-82.321061","0.7247",2,"31","1051",32390,"0","1","0","1","1","0","1","1","1","1","2","1"
"205","Dallas Baptist University",204,"$26,180 ","Dallas","TX","75211-9299","https://www.dbu.edu","32.710017","-96.947006","0.4311",2,"11","1060",36371,"0","1","0","1","1","0","1","1","2","2","2","2"
"206","Northern Illinois University",205,"$23,799 ","Dekalb","IL","60115-2828","www.niu.edu","41.933869","-88.766428","0.5184",1,"23","1030",28725,"0","1","0","1","1","1","1","1","1","1","1","1"
"207","Nova Southeastern University",206,"$27,660 ","Fort Lauderdale","FL","33314-7796","www.nova.edu","26.079337","-80.24248","0.5254",2,"21","1127",43351,"0","1","0","1","2","1","1","0","1","1","2","1"
"208","Southern Illinois University-Carbondale",207,"$27,130 ","Carbondale","IL","62901-4512","www.siu.edu","37.714193","-89.217273","0.7665",1,"13","1029",26868,"1","1","1","2","1","1","1","1","1","1","2","1"
"209","University of Montevallo",208,"$24,562 ","Montevallo","AL","35115-6000","www.montevallo.edu","33.10625","-86.865099","0.6542",1,"21","1069",24599,"0","0","0","0","1","0","1","1","1","1","1","1"
"210","Benedictine University",209,"$32,170 ","Lisle","IL","60532-0900","www.ben.edu","41.777569","-88.097307","NULL",2,"21","NULL",38036,"0","1","0","1","1","1","1","1","1","1","2","1"
"211","Gardner-Webb University",210,"$29,850 ","Boiling Springs","NC","28017-0997","www.gardner-webb.edu","35.24732","-81.668141","0.5188",2,"32","987",41020,"0","0","0","2","2","0","1","1","1","2","2","1"
"212","Shenandoah University",211,"$31,322 ","Winchester","VA","22601-5195","www.su.edu","39.166058","-78.158376","0.8802",2,"13","1009",44258,"0","1","0","0","1","0","1","1","1","1","1","1"
"213","Tennessee Technological University",212,"$24,800 ","Cookeville","TN","38505-0001","www.tntech.edu","36.174659","-85.503957","0.6721",1,"33","1103",23109,"1","1","0","1","2","1","1","1","1","1","1","1"
"214","University of Southern Mississippi",213,"$16,094 ","Hattiesburg","MS","39406-0001","www.usm.edu","31.32661","-89.331236","0.6014",1,"13","1070",20469,"0","0","1","1","2","1","1","1","1","1","2","1"
"215","Utah State University",214,"$19,772 ","Logan","UT","84322-1400","www.usu.edu","41.740748","-111.81391","0.9025",1,"13","1087",18093,"2","1","1","1","1","1","1","1","2","2","1","1"
"216","California State University-Fresno",215,"$17,209 ","Fresno","CA","93740","www.csufresno.edu","36.814477","-119.748258","0.5354",1,"11","907",16078,"1","1","0","1","1","1","1","1","1","1","1","1"
"217","New Mexico State University-Dona Ana",216,"$21,234 ","Las Cruces","NM","88011","dacc.nmsu.edu/","32.354486","-106.737172","NULL",1,"41","NULL",10972,"0","0","0","0","0","0","0","0","0","0","0","0"
"218","University of Massachusetts-Boston",217,"$32,023 ","Boston","MA","02125-3393","www.umb.edu","42.312881","-71.036865","0.6852",1,"11","1073",21884,"0","1","0","1","1","1","1","1","1","1","1","1"
"219","University of Massachusetts-Dartmouth",218,"$19,270 ","North Dartmouth","MA","02747-2300","www.umassd.edu","41.62869","-71.004552","0.7602",1,"22","1025",25410,"0","0","0","1","1","1","1","1","1","2","2","1"
"220","University of Missouri-St Louis",219,"$26,277 ","Saint Louis","MO","63121-4400","www.umsl.edu/","38.710312","-90.311091","0.7062",1,"21","1101",22105,"0","0","0","1","1","1","1","1","1","2","2","2"
"221","University of North Carolina at Greensboro",220,"$21,595 ","Greensboro","NC","27402-6170","www.uncg.edu","36.068236","-79.809414","0.7393",1,"11","1054",18764,"0","0","0","2","2","0","1","1","1","1","2","1"
