"","Rank","Name","Tuition.and.fees.x","City","State","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History","Tuition.and.fees.y","Earn"
"1",1,"Princeton University","$45,320 ","Princeton","NJ","08544-0070","www.princeton.edu","40.348732","-74.659365","0.0652",2,"21","1493",61860,"0","0","1","0","0","1","1","1","1","1","0","1","$45,320 ","93200"
"2",2,"Harvard University","$47,074 ","Cambridge","MA","02138","www.harvard.edu","42.374471","-71.118313","0.054",2,"12","1506",64400,"0","1","0","1","0","2","2","1","1","2","0","2","$47,074 ","112800"
"3",3,"University of Chicago","$52,491 ","Chicago","IL","60637","WWW.UCHICAGO.EDU","41.787994","-87.599539","0.0794",2,"11","1508",70100,"0","1","0","1","0","0","1","1","1","1","0","1","$52,491 ","81700"
"4",4,"Yale University","$49,480 ","New Haven","CT","06520","www.yale.edu","41.311158","-72.926688","0.0632",2,"12","1502",66445,"0","1","1","1","0","1","1","1","1","1","0","1","$49,480 ","100500"
"5",5,"Stanford University","$47,940 ","Stanford","CA","94305","www.stanford.edu/","37.429434","-122.167359","0.0481",2,"21","1476",64477,"0","0","0","1","0","1","1","1","1","1","0","1","$47,940 ","122100"
"6",6,"Columbia University in the City of New York","$55,056 ","New York","NY","10027","www.columbia.edu","40.808286","-73.961885","0.0683",2,"11","1496",69021,"0","1","1","1","1","1","1","1","1","1","1","1","$55,056 ","92100"
"7",7,"Massachusetts Institute of Technology","$48,452 ","Cambridge","MA","02139-4307","web.mit.edu/","42.360095","-71.092115","0.0794",2,"12","1519",63250,"0","0","1","1","0","1","1","1","0","1","1","1","$48,452 ","126500"
"8",8,"Duke University","$51,265 ","Durham","NC","27708","WWW.DUKE.EDU","36.001135","-78.937624","0.1083",2,"11","1460",67005,"0","1","0","1","1","1","1","1","1","1","0","1","$51,265 ","98300"
"9",9,"University of Pennsylvania","$51,464 ","Philadelphia","PA","19104-6303","www.upenn.edu","39.950929","-75.19391","0.0944",2,"11","1481",66800,"0","1","1","1","0","1","1","1","1","1","1","1","$51,464 ","106900"
"10",10,"Johns Hopkins University","$50,410 ","Baltimore","MD","21218-2688","www.jhu.edu","39.328977","-76.621595","0.1284",2,"11","1476",65473,"0","1","0","2","1","2","1","1","1","1","2","1","$50,410 ","73700"
"11",11,"Dartmouth College","$51,438 ","Hanover","NH","03755-3529","www.dartmouth.edu","43.704115","-72.289949","0.1059",2,"33","1441",67044,"0","1","0","1","0","1","1","1","1","1","0","1","$51,438 ","85300"
"12",12,"California Institute of Technology","$47,577 ","Pasadena","CA","91125","www.caltech.edu","34.137349","-118.125878","0.0807",2,"12","1555",63471,"0","0","0","1","0","1","1","1","0","1","1","1","$47,577 ","80500"
"13",13,"Northwestern University","$50,855 ","Evanston","IL","60208","www.northwestern.edu","42.050356","-87.679858","0.1066",2,"13","1470",67887,"0","1","1","1","1","1","1","1","1","1","1","1","$50,855 ","73500"
"14",14,"Brown University","$51,367 ","Providence","RI","02912","www.brown.edu","41.82617","-71.40385","0.0931",2,"12","1459",65380,"0","1","0","1","1","1","1","1","1","1","1","1","$51,367 ","68500"
"15",15,"Cornell University","$50,953 ","Ithaca","NY","14853","www.cornell.edu","42.4472","-76.483084","0.1409",2,"13","1436",65464,"1","1","1","1","1","1","1","1","1","1","1","1","$50,953 ","81200"
"16",16,"Rice University","$43,918 ","Houston","TX","77005-1827","www.rice.edu","29.717897","-95.402035","0.1527",2,"11","1490",58253,"0","1","1","1","0","1","1","1","1","1","1","1","$43,918 ","76800"
"17",17,"University of Notre Dame","$49,685 ","Notre Dame","IN","46556","www.nd.edu","41.703058","-86.238959","0.1873",2,"21","1474",64775,"0","1","1","1","1","1","1","1","1","1","1","1","$49,685 ","78700"
"18",18,"Vanderbilt University","$45,610 ","Nashville","TN","37240","www.vanderbilt.edu","36.14659","-86.803369","0.1075",2,"11","1495",63532,"0","0","0","1","1","1","1","1","1","1","0","1","$45,610 ","69700"
