"","Name","City","State","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History"
"3844","Ralph R Willis Career and Technical Center","Stollings","WV","25646","www.rrw.logancountyschoolswv.com/","37.82694","-81.94289","NULL",1,"41","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3845","Marshall University","Huntington","WV","25755","www.marshall.edu/","38.422482","-82.428964","0.8943",1,"13","1010",18064,"0","1","0","1","1","1","1","1","1","2","1","1"
"3846","Mercer County Technical Education Center","Princeton","WV","24740","mercer-k12.wvnet.edu/technicaled/","37.360024","-81.104647","NULL",1,"32","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3847","Meredith Manor International Equestrian Center","Waverly","WV","26184","www.meredithmanor.edu","39.298354","-81.398107","NULL",3,"42","NULL",31324,"0","0","0","0","0","0","0","0","0","0","0","0"
"3848","Monongalia County Technical Education Center","Morgantown","WV","26501-6841","mtec.mono.k12.wv.us/","39.611165","-79.957275","0.6735",1,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3849","Morgantown Beauty College Inc","Morgantown","WV","26505-5430","www.MorgantownBeautyCollege.edu","39.628866","-79.954593","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3850","Mountain State College","Parkersburg","WV","26101-3993","www.msc.edu","39.273787","-81.548845","NULL",3,"13","NULL",20727,"0","0","0","0","0","0","0","0","0","0","0","0"
"3851","Opportunities Industrialization Center","Fairmont","WV","26554","www.oictrainingacademy.org","39.485033","-80.144976","NULL",2,"32","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3852","Ohio Valley University","Vienna","WV","26105-8000","https://www.ovu.edu","39.312447","-81.537808","0.6355",2,"13","966",28912,"0","0","0","0","1","0","1","1","1","1","1","1"
"3853","West Virginia University at Parkersburg","Parkersburg","WV","26104","www.wvup.edu","39.216379","-81.506192","NULL",1,"23","NULL",11050,"0","0","0","0","1","0","0","0","0","0","1","0"
"3854","Potomac State College of West Virginia University","Keyser","WV","26726","www.potomacstatecollege.edu","39.438323","-78.981441","NULL",1,"32","NULL",13370,"0","0","0","0","0","0","0","0","0","0","1","0"
"3855","Academy of Careers and Technology","Beckley","WV","25801","www.wvact.net","37.795299","-81.165435","NULL",1,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3856","Salem International University","Salem","WV","26426","www.salemu.edu","39.288632","-80.571767","NULL",3,"42","NULL",29652,"0","0","0","2","2","0","2","0","0","0","2","0"
"3857","Shepherd University","Shepherdstown","WV","25443","www.shepherd.edu/","39.433071","-77.804101","0.9191",1,"31","994",17055,"0","1","0","1","1","1","1","1","1","1","1","1"
"3858","Southern West Virginia Community and Technical College","Mount Gay","WV","25637","www.southernwv.edu","37.851756","-82.023014","NULL",1,"32","NULL",9919,"0","0","0","0","0","0","0","0","0","0","0","0"
"3859","Fred W Eberle Technical Center","Buckhannon","WV","26201","fetc.edu","39.001908","-80.225278","NULL",1,"33","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3860","West Virginia School of Osteopathic Medicine","Lewisburg","WV","24901","www.wvsom.edu","37.804273","-80.43782","NULL",1,"32","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3861","West Virginia State University","Institute","WV","25112-1000","www.wvstateu.edu","38.380541","-81.765034","0.9627",1,"22","927",16194,"0","0","0","1","1","0","1","1","1","1","2","1"
"3862","West Virginia University Hospital Departments of Rad Tech and Nutrition","Morgantown","WV","26506-8062","www.wvuhradtech.com","39.654269","-79.957959","NULL",2,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3863","West Liberty University","West Liberty","WV","26074","www.westliberty.edu/","40.164417","-80.602256","0.717",1,"41","965",20373,"0","0","0","0","1","0","1","1","1","1","1","0"
"3864","West Virginia University Institute of Technology","Beckley","WV","25801","www.wvutech.edu","37.775924","-81.184072","0.527",1,"13","1000",16746,"0","0","0","1","1","1","1","1","1","1","1","0"
"3865","West Virginia Wesleyan College","Buckhannon","WV","26201-2994","www.wvwc.edu","38.990661","-80.218969","0.7728",2,"33","1032",42383,"0","1","0","1","1","0","1","1","1","1","1","1"
"3866","West Virginia Business College-Wheeling","Wheeling","WV","26003","www.wvbc.edu","40.069208","-80.723663","NULL",3,"13","NULL",31150,"0","0","0","0","0","0","0","0","0","0","0","0"
"3867","West Virginia Junior College-Charleston","Charleston","WV","25301","www.wvjc.edu","38.34804","-81.63413","NULL",3,"13","NULL",19036,"0","0","0","0","0","0","0","0","0","0","0","0"
"3868","West Virginia Junior College-Morgantown","Morgantown","WV","26505","www.wvjc.edu","39.63248","-79.955006","NULL",3,"13","NULL",22602,"0","0","0","0","0","0","0","0","0","0","0","0"
"3869","International Beauty School 4","Martinsburg","WV","25401","www.theinternationalbeautyschool.com","39.456357","-77.965463","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3870","West Virginia Northern Community College","Wheeling","WV","26003-3699","www.wvncc.edu/","40.063318","-80.721263","NULL",1,"13","NULL",9687,"0","0","0","0","0","0","0","0","0","0","0","0"
"3871","West Virginia University","Morgantown","WV","26506","www.wvu.edu","39.634371","-79.954391","0.7612",1,"13","1069",19512,"1","1","1","1","1","1","1","1","1","1","1","1"
"3872","Wheeling Jesuit University","Wheeling","WV","26003","www.wju.edu","40.070873","-80.690804","0.9324",2,"13","971",38441,"0","1","0","1","1","1","1","1","1","1","1","1"
"3873","Wood County School of Practical Nursing","Parkersburg","WV","26104","woodcountyschoolswv.com/WCT/Class/10452-Practical-Nursing","39.21676","-81.50573","1",1,"23","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3874","Advanced Institute of Hair Design-Glendale","Glendale","WI","53217","www.vicibeautyschool.com","43.122525","-87.915088","NULL",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3875","VICI Beauty School","Greenfield","WI","53228","www.vicibeautyschool.com","42.969877","-88.049912","NULL",3,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3876","Alverno College","Milwaukee","WI","53234-3922","www.alverno.edu","42.982842","-87.965174","0.8022",2,"11","NULL",34546,"0","1","0","1","1","0","1","1","1","1","1","1"
"3877","Madison Area Technical College","Madison","WI","53704-2599","madisoncollege.edu","43.12183","-89.327921","NULL",1,"11","NULL",15194,"0","0","0","0","0","0","0","0","0","0","0","0"
"3878","Bellin College","Green Bay","WI","54311","https://www.bellincollege.edu","44.468277","-87.921722","0.8913",2,"41","1110",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3879","Beloit College","Beloit","WI","53511-5595","www.beloit.edu","42.504022","-89.029285","0.6986",2,"13","1222",55178,"0","1","0","1","1","1","1","1","1","1","1","1"
"3880","Blackhawk Technical College","Janesville","WI","53547-5009","www.blackhawk.edu","42.593159","-89.016254","NULL",1,"23","NULL",12715,"0","0","0","0","0","0","0","0","0","0","0","0"
"3881","Cardinal Stritch University","Milwaukee","WI","53217-3985","www.stritch.edu","43.139752","-87.909045","0.8152",2,"21","954",38665,"0","0","0","1","1","0","1","1","1","1","2","1"
"3882","Carroll University","Waukesha","WI","53186","www.carrollu.edu","43.004527","-88.228114","0.7156",2,"13","1089",41758,"0","1","0","1","1","1","1","1","1","1","1","1"
"3883","Carthage College","Kenosha","WI","53140-1994","www.carthage.edu","42.622969","-87.820924","0.6973",2,"22","1101",51397,"0","1","0","1","1","0","1","1","1","1","1","1"
"3884","Columbia College of Nursing","Glendale","WI","53212","www.ccon.edu","43.097318","-87.918283","NULL",2,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3885","Concordia University-Wisconsin","Mequon","WI","53097-2402","www.cuw.edu","43.253387","-87.91552","0.6335",2,"21","1105",40964,"1","1","0","1","2","1","1","1","1","1","2","1"
"3886","Edgewood College","Madison","WI","53711-1997","www.edgewood.edu","43.057059","-89.422884","0.7587",2,"11","1069",39116,"0","1","0","1","1","0","1","1","1","1","1","1"
"3887","Fox Valley Technical College","Appleton","WI","54912-2277","https://www.fvtc.edu","44.283174","-88.45893","NULL",1,"22","NULL",14317,"0","0","0","0","0","0","0","0","0","0","0","0"
"3888","Gateway Technical College","Kenosha","WI","53144-1690","https://www.gtc.edu","42.605677","-87.846695","NULL",1,"22","NULL",13014,"0","0","0","0","0","0","0","0","0","0","0","0"
"3889","Gill-Tech Academy of Hair Design","Appleton","WI","54914-8613","www.gilltechacademy.edu","44.261209","-88.4843","NULL",3,"22","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3890","The Professional Hair Design Academy","Eau Claire","WI","54701-7633","phdacademy.edu","44.783374","-91.461714","NULL",3,"22","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3891","Lakeland University","Plymouth","WI","53073","www.lakeland.edu","43.841573","-87.883414","0.554",2,"41","909",37156,"0","0","0","2","1","0","1","1","2","2","2","1"
"3892","Lakeshore Technical College","Cleveland","WI","53015-1414","www.gotoltc.edu","43.924774","-87.75454","NULL",1,"42","NULL",13836,"0","0","0","0","0","0","0","0","0","0","0","0"
